Nom;Trigramme;Segment(s) DRG;Position géographique;Code commune;Code(s) UIC
Abancourt;ABT;C;49.6852237, 1.7743058;60001;87313759
Abbaretz;AAR;C;47.5546432, -1.5244159;44001;87481614
Abbeville;ABB;B;50.10221, 1.82449;80001;87317362
Ablon-sur-Seine;ABL;B;48.725468, 2.419151;94001;87545269
Achères Grand Cormier;GCR;B;48.9551835, 2.0919031;78551;87386052
Achères Ville;ACW;B;48.97011, 2.07739;78005;87381657
Achiet-le-Grand;ACT;C;50.1317525, 2.780168;62005;87342048
Aéroport Charles de Gaulle 1;RSY;B;49.00956, 2.56135;93073;87271460
Aéroport Charles de Gaulle 2 TGV;RYT;A;49.003652, 2.570892;93073;87271494
Aéroport Charles de Gaulle 2 TGV 2;RYT;A;49.003652, 2.570892;93073;87001479
Agay;AGH;C;43.4313701, 6.8564997;83118;87757559
Agde;AGD;B;43.31728, 3.466203;34003;87781278
Agen;AGN;A;44.208311, 0.620932;47001;87586008
Agonac;AGA;C;45.2865966, 0.7486706;24002;87595157
Aguilcourt - Variscourt;AGK;C;49.408017, 3.973137;2761;87171702
Aigrefeuille le Thou;AGR;C;46.09402, -0.95168;17447;87485193
Aiguebelette-le-Lac;AGQ;C;45.5363048, 5.8131468;73001;87741421
Aiguebelle;AEB;C;45.5437225, 6.3067175;73002;87741256
Aigueperse;AGE;C;46.0147884, 3.1982621;63001;87734129
Aigues-Mortes;AIM;C;43.5709008, 4.1912102;30003;87775858
Aiguillon;AIN;C;44.2987224, 0.3352388;47004;87586693
Aillevillers;AIP;C;47.9138876, 6.3372988;70171;87185629
Ailly-sur-Noye;ASN;B;49.75448, 2.36419;80010;87313221
Ailly-sur-Somme;AYS;B;49.92838, 2.20059;80011;87313098
Aimargues;AIA;C;43.6786107, 4.2082933;30006;87775833
Aime - La Plagne;ANJ;C;45.5544, 6.648646;73006;87741769
Aiserey;ASI;C;47.170501, 5.1582447;21005;87713636
Aix-en-Provence;AXP;B;43.522912, 5.445345;13001;87751404
Aix-en-Provence TGV;AXV;A;43.455237, 5.317534;13001;87319012
Aix-les-Bains le Revard;AIX;B;45.688161, 5.909371;73008;87741132
Aixe-sur-Vienne;ASV;C;45.7965002, 1.1456892;87001;87592667
Alaï;ALA;C;45.7521198, 4.7717824;69244;87722744
Albens;ABN;C;45.785946, 5.9483418;73010;87746115
Albert;ALJ;B;50.00546, 2.64453;80016;87313072
Albertville;ALV;B;45.672977, 6.383167;73011;87741645
Albi;ALB;B;43.92238, 2.137958;81004;87615005
Albi Madeleine;ALM;C;43.938011, 2.1409629;81004;87615195
Albias;ALE;C;44.0919078, 1.4448012;82002;87613398
Albigny - Neuville;VVN;B;45.874921, 4.832874;69003;87721266
Alençon;ALN;B;48.433884, 0.098531;61001;87444711
Alès;ALS;B;44.127825, 4.084948;30007;87775288
Allassac;AAA;C;45.2589385, 1.4731471;19005;87594234
Allée de la Tour Rendez-Vous;AET;B;48.897109, 2.506475;93057;87113878
Allée Royale;AYL;B;48.81431, 2.07827;78646;87710913
Allenc;AEN;C;44.541296, 3.6638926;48003;87783654
Alleyras;AES;C;44.919217, 3.673517;43005;87731885
Altkirch;ALK;B;47.6270174, 7.2392493;68004;87182238
Amagne - Lucquy;AMA;C;49.5238187, 4.4738775;8008;87172262
Ambazac;ABZ;C;45.9529056, 1.406501;87002;87592311
Ambérieu-en-Bugey;AMB;B;45.954008, 5.342388;1004;87743716
Amboise;AMQ;B;47.42148, 0.981299;37003;87574343
Ambronay - Priay;AAI;C;46.0115941, 5.3382579;1007;87743146
Amiens;AMS;A;49.890746, 2.312592;80021;87313874
Amifontaine;AMF;C;49.4847322, 3.9105811;2013;87171744
